station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min,raceId,circuitId
,Suzuka,1993-10-24,Autumn,14.0,10.6,18.5,8.4,,,,,,,287,22
95678,Adelaide,1993-11-07,Spring,,6.6,16.4,,,,,,,,288,29
,Midrand,1992-03-01,Spring,23.3,15.9,32.1,2.4,,,,,,,289,30
,Mexico City,1992-03-22,Spring,23.0,13.1,30.1,0.0,,,,,,,290,32
83780,São Paulo,1992-04-05,Autumn,,,,0.0,,,,,,,291,18
,Montmeló,1992-05-03,Spring,14.6,9.9,16.7,1.8,,183.0,26.4,,1014.3,,292,4
,Imola,1992-05-17,Spring,17.4,12.6,21.5,13.5,40.5,209.0,9.7,,,,293,21
,Monte-Carlo,1992-05-31,Spring,19.9,,,2.0,,,,,,,294,6
,Montreal,1992-06-14,Summer,17.8,12.6,21.4,3.6,0.0,173.0,21.7,,1013.4,,295,7
,Magny Cours,1992-07-05,Summer,16.2,13.7,20.2,5.3,,308.8,16.7,,,,296,8
,Hockenheim,1992-07-26,Summer,20.6,14.6,26.0,0.0,0.0,238.1,8.7,33.9,1019.4,429.0,298,10
12843,Budapest,1992-08-16,Summer,21.5,15.5,27.3,,,,,,,,299,11
,Spa,1992-08-30,Summer,13.8,11.6,18.3,12.6,,,,,,,300,13
,Monza,1992-09-13,Autumn,19.3,12.3,21.9,0.0,,,6.6,,1018.2,,301,14
,Estoril,1992-09-27,Autumn,17.6,10.2,17.7,0.3,,,,,,,302,27
,Suzuka,1992-10-25,Autumn,15.1,16.5,19.2,2.5,,346.0,8.9,,1005.0,,303,22
95678,Adelaide,1992-11-08,Spring,,15.5,,,,,,,,,304,29
72278,Phoenix,1991-03-10,Spring,20.6,15.0,25.6,0.0,0.0,,8.6,18.4,1011.2,556.0,305,33
83780,São Paulo,1991-03-24,Autumn,20.3,,23.0,1.4,,,,,,,306,18
,Imola,1991-04-28,Spring,8.0,4.2,11.4,1.1,803.7,304.0,8.9,,1015.1,,307,21
,Monte-Carlo,1991-05-12,Spring,14.6,10.0,20.2,0.0,,,12.2,,,,308,6
,Montreal,1991-06-02,Summer,15.3,10.6,21.1,0.0,0.0,,11.8,,1009.4,,309,7
,Mexico City,1991-06-16,Summer,24.0,13.7,29.4,1.8,,,,,,,310,32
,Magny Cours,1991-07-07,Summer,21.6,15.0,27.5,1.5,,252.0,10.3,,,,311,8
,Hockenheim,1991-07-28,Summer,20.3,12.3,25.8,0.0,0.0,52.5,9.3,32.1,1018.6,776.0,313,10
12843,Budapest,1991-08-11,Summer,24.8,17.3,29.1,0.0,,,,,,,314,11
,Spa,1991-08-25,Summer,17.8,11.9,23.8,0.0,,,,,,,315,13
,Monza,1991-09-08,Autumn,18.8,14.8,22.4,0.1,,201.0,8.4,,,,316,14
,Estoril,1991-09-22,Autumn,20.7,15.8,24.8,0.0,,27.0,25.0,,1025.5,,317,27
,Montmeló,1991-09-29,Autumn,16.6,13.2,19.5,11.8,,,11.0,,,,318,4
,Suzuka,1991-10-20,Autumn,14.5,14.1,19.4,0.0,,51.0,11.5,,1015.3,,319,22
95678,Adelaide,1991-11-03,Spring,,7.0,16.0,,,,,,,,320,29
72278,Phoenix,1990-03-11,Spring,12.7,9.4,17.8,2.5,0.0,194.0,13.3,40.7,1012.1,398.0,321,33
83780,São Paulo,1990-03-25,Autumn,23.3,,,0.0,,,,,,,322,18
,Imola,1990-05-13,Spring,14.3,9.3,17.6,3.0,,,,,,,323,21
,Monte-Carlo,1990-05-27,Spring,17.8,14.9,21.8,7.1,,,,,,,324,6
,Montreal,1990-06-10,Summer,15.1,9.5,20.0,0.1,0.0,112.5,16.0,,1011.6,,325,7
,Mexico City,1990-06-24,Summer,20.9,18.8,32.7,2.9,,,,,,,326,32
,Le Castellet,1990-07-08,Summer,19.8,15.4,24.6,0.8,,332.0,26.4,,,,327,34
,Hockenheim,1990-07-29,Summer,20.5,16.9,27.2,1.9,0.0,274.1,8.6,34.0,1018.6,225.0,329,10
12843,Budapest,1990-08-12,Summer,21.1,13.1,28.7,0.0,,,,,,,330,11
,Spa,1990-08-26,Summer,19.8,13.9,25.8,0.0,,,,,,,331,13
,Monza,1990-09-09,Autumn,18.2,13.6,22.0,0.0,,,8.2,,,,332,14
,Estoril,1990-09-23,Autumn,18.2,14.7,20.7,1.2,,50.0,13.2,,1021.3,,333,27
,Jerez de la Frontera,1990-09-30,Autumn,22.3,18.7,26.3,0.6,,,,,,,334,26
,Suzuka,1990-10-21,Autumn,17.6,13.1,23.2,0.0,,,,,,,335,22
95678,Adelaide,1990-11-04,Spring,,19.0,25.0,,,,,,,,336,29
,Sakhir,2010-03-14,Spring,26.7,20.0,35.4,,,,,,,,337,3
95866,Melbourne,2010-03-28,Autumn,,16.7,26.4,0.0,,,,,,,338,1
,Kuala Lumpur,2010-04-04,Spring,28.0,24.4,32.6,12.1,,141.0,6.9,,,,339,2
58362,Shanghai,2010-04-18,Spring,17.3,12.2,22.3,1.2,,,,,,,340,17
,Montmeló,2010-05-09,Spring,17.9,13.1,22.7,2.6,,,10.6,,1003.2,,341,4
,Monte-Carlo,2010-05-16,Spring,17.2,14.2,19.6,0.0,,301.0,13.9,,1007.8,,342,6
,Istanbul,2010-05-30,Spring,22.9,13.8,28.1,0.2,,249.3,8.1,,1010.2,,343,5
,Montreal,2010-06-13,Summer,15.8,11.5,20.7,0.2,0.0,120.5,12.4,,1016.6,,344,7
08285,Valencia,2010-06-27,Summer,,18.6,28.4,0.0,,,,,,,345,12
80472,Valencia,2010-06-27,Summer,27.4,,,,,,,,,,345,12
,Hockenheim,2010-07-25,Summer,16.4,10.6,22.0,1.1,0.0,281.5,14.0,39.2,1014.1,545.5,347,10
12843,Budapest,2010-08-01,Summer,23.8,17.5,29.7,0.0,,302.0,7.1,,1015.8,,348,11
,Spa,2010-08-29,Summer,13.2,,17.8,6.1,,,,,,,349,13
,Monza,2010-09-12,Autumn,18.3,14.4,23.0,1.2,,153.0,7.6,,1016.9,,350,14
,Marina Bay,2010-09-26,Autumn,28.7,24.7,32.5,7.9,,,6.3,,,,351,15
,Suzuka,2010-10-10,Autumn,20.9,16.9,26.7,24.3,,292.0,5.5,,1006.7,,352,22
83780,São Paulo,2010-11-07,Spring,19.2,14.9,25.1,7.9,,,8.7,,,,354,18
41217,Abu Dhabi,2010-11-14,Autumn,26.2,21.7,30.8,,,,,,,,355,24
83746,Rio de Janeiro,1989-03-26,Autumn,28.8,23.0,38.0,,,,6.7,,,,356,36
,Imola,1989-04-23,Spring,8.5,2.4,12.3,0.5,870.3,,,,,,357,21
,Monte-Carlo,1989-05-07,Spring,17.6,15.0,20.3,0.0,,,,,,,358,6
,Mexico City,1989-05-28,Spring,19.0,14.7,29.2,6.9,,,,,,,359,32
72278,Phoenix,1989-06-04,Summer,31.0,22.8,38.3,0.0,0.0,257.0,14.8,37.1,1006.1,855.0,360,33
,Montreal,1989-06-18,Summer,16.5,11.8,21.7,4.3,0.0,228.3,16.8,,1015.5,,361,7
,Le Castellet,1989-07-09,Summer,19.9,16.7,24.0,2.4,,266.0,13.5,,,,362,34
,Hockenheim,1989-07-30,Summer,18.4,14.3,25.2,10.4,0.0,180.3,13.5,59.0,1007.8,172.0,364,10
12843,Budapest,1989-08-13,Summer,21.0,17.3,25.0,,,,,,,,365,11
,Spa,1989-08-27,Summer,14.1,12.9,16.3,5.0,,,,,,,366,13
,Monza,1989-09-10,Autumn,16.8,12.6,20.1,0.3,,,8.3,,,,367,14
,Estoril,1989-09-24,Autumn,18.8,10.5,25.3,0.0,,16.0,20.9,,1021.0,,368,27
,Jerez de la Frontera,1989-10-01,Autumn,18.5,12.4,24.6,0.4,,,10.3,,,,369,26
,Suzuka,1989-10-22,Autumn,16.4,10.6,20.5,2.7,,,,,,,370,22
,Adelaide,1989-11-05,Autumn,19.6,17.2,27.6,4.5,,,,,,,371,29
83746,Rio de Janeiro,1988-04-03,Autumn,23.8,22.0,28.0,,,,3.8,,,,372,36
,Imola,1988-05-01,Spring,11.6,7.1,13.9,4.6,536.7,,,,,,373,21
,Monte-Carlo,1988-05-15,Spring,18.1,,20.1,0.3,,,,,,,374,6
,Mexico City,1988-05-29,Spring,24.5,15.6,31.8,6.6,,,,,,,375,32
,Montreal,1988-06-12,Summer,15.5,10.0,20.8,0.3,0.0,201.0,12.2,,1015.0,,376,7
,Le Castellet,1988-07-03,Summer,16.2,12.5,20.2,5.9,,,,,,,378,34
,Hockenheim,1988-07-24,Summer,19.2,16.3,26.0,6.1,0.0,225.4,12.6,60.4,1012.9,239.5,380,10
12843,Budapest,1988-08-07,Summer,19.6,11.4,,0.0,,,,,,,381,11
,Spa,1988-08-28,Summer,19.8,16.8,26.6,4.8,,,,,,,382,13
,Monza,1988-09-11,Autumn,19.0,13.7,22.2,0.0,,,11.0,,,,383,14
,Estoril,1988-09-25,Autumn,21.0,12.8,27.2,0.0,,152.0,15.2,,1023.0,,384,27
,Jerez de la Frontera,1988-10-02,Autumn,18.8,11.6,24.8,2.4,,,,,,,385,26
,Suzuka,1988-10-30,Autumn,11.7,7.8,15.4,1.1,,,,,,,386,22
,Adelaide,1988-11-13,Autumn,20.2,18.3,31.3,0.0,,,,,,,387,29
83746,Rio de Janeiro,1987-04-12,Autumn,29.2,,,,,,,,,,388,36
,Imola,1987-05-03,Spring,13.5,8.1,16.1,6.3,595.5,,,,,,389,21
,Spa,1987-05-17,Spring,9.3,3.3,14.5,3.7,,,,,,,390,13
,Monte-Carlo,1987-05-31,Spring,18.8,17.0,21.0,0.0,,70.0,13.1,,,,391,6
,Le Castellet,1987-07-05,Summer,23.3,16.5,29.2,0.6,,,7.5,,,,393,34
,Hockenheim,1987-07-26,Summer,11.9,8.7,15.9,2.6,0.0,263.3,18.9,49.5,1013.2,488.5,395,10
12843,Budapest,1987-08-09,Summer,18.4,9.6,25.5,0.0,,,,,,,396,11
,Spielberg,1987-08-16,Summer,17.6,12.9,22.8,0.2,0.0,,4.4,,,,397,70
,Monza,1987-09-06,Autumn,18.7,14.0,21.5,4.4,,,,,,,398,14
,Estoril,1987-09-20,Autumn,22.7,17.0,27.9,4.1,,246.0,19.5,,,,399,27
,Jerez de la Frontera,1987-09-27,Autumn,20.2,16.2,24.4,0.8,,56.0,10.2,,,,400,26
,Mexico City,1987-10-18,Autumn,18.5,7.7,26.8,0.0,,,,,,,401,32
,Suzuka,1987-11-01,Autumn,16.3,11.3,17.5,0.5,,,,,,,402,22
,Adelaide,1987-11-15,Autumn,20.2,19.5,24.9,0.0,,,,,,,403,29
83746,Rio de Janeiro,1986-03-23,Autumn,26.8,22.0,35.0,,,,10.5,,,,404,36
,Jerez de la Frontera,1986-04-13,Spring,9.9,3.3,15.4,0.0,,,,,,,405,26
,Imola,1986-04-27,Spring,11.6,7.9,12.5,5.9,1169.5,,14.2,,,,406,21
,Monte-Carlo,1986-05-11,Spring,16.7,,19.0,0.0,,,,,,,407,6
,Spa,1986-05-25,Spring,15.1,7.7,21.7,0.0,,,,,,,408,13
,Montreal,1986-06-15,Summer,17.2,11.0,21.1,1.3,0.0,,,,,,409,7
,Le Castellet,1986-07-06,Summer,18.5,16.0,22.7,11.0,,276.0,21.7,,,,411,34
,Hockenheim,1986-07-27,Summer,19.6,14.6,24.7,0.0,0.0,239.3,6.3,29.2,1018.8,429.5,413,10
12843,Budapest,1986-08-10,Summer,23.7,16.8,30.3,0.0,,,,,,,414,11
,Spielberg,1986-08-17,Summer,21.8,16.0,28.9,4.7,0.0,,6.2,,,,415,70
,Monza,1986-09-07,Autumn,18.7,12.9,22.4,0.0,,,4.3,,,,416,14
,Estoril,1986-09-21,Autumn,22.7,17.0,26.0,0.7,,,,,,,417,27
,Mexico City,1986-10-12,Autumn,19.4,15.9,27.6,2.4,,,,,,,418,32
,Adelaide,1986-10-26,Autumn,18.3,15.2,22.0,0.0,,279.0,16.2,,,,419,29
83746,Rio de Janeiro,1985-04-07,Autumn,27.3,23.0,33.0,,,,8.3,,,,420,36
,Estoril,1985-04-21,Spring,12.4,8.4,14.7,4.8,,,,,,,421,27
,Imola,1985-05-05,Spring,11.3,6.6,13.0,1.6,1249.5,,12.3,,,,422,21
,Monte-Carlo,1985-05-19,Spring,15.7,13.7,18.8,,,,,,,,423,6
,Montreal,1985-06-16,Summer,15.8,9.4,20.1,2.4,0.0,254.5,20.8,,1015.9,,424,7
,Le Castellet,1985-07-07,Summer,19.5,12.4,25.7,0.0,,235.3,9.5,,,,426,34
,Nürburg,1985-08-04,Summer,15.4,10.7,19.7,1.5,0.0,233.7,14.3,44.1,1010.6,409.1,428,20
,Spielberg,1985-08-18,Summer,15.6,12.0,20.9,6.3,0.0,,6.4,,,,429,70
,Zandvoort,1985-08-25,Summer,14.0,11.0,18.3,2.2,0.0,211.6,22.8,,1007.8,612.0,430,39
,Monza,1985-09-08,Autumn,19.0,13.3,22.2,0.0,,,4.8,,,,431,14
,Spa,1985-09-15,Autumn,13.6,8.9,17.0,0.3,,,,,,,432,13
,Midrand,1985-10-19,Autumn,21.4,12.5,27.5,0.0,,,,,,,434,30
,Adelaide,1985-11-03,Autumn,18.5,17.4,24.4,0.0,,,,,,,435,29
83746,Rio de Janeiro,1984-03-25,Autumn,25.8,21.0,32.0,,,,6.0,,,,436,36
,Midrand,1984-04-07,Spring,21.3,14.4,28.4,4.6,,,,,,,437,30
,Heusden-Zolder,1984-04-29,Spring,9.1,2.9,13.8,0.0,,,,,,,438,40
,Imola,1984-05-06,Spring,13.4,8.5,15.9,0.4,1020.3,,9.6,,,,439,21
07280,Dijon,1984-05-20,Spring,12.0,3.6,,0.0,,,,,,,440,41
,Monte-Carlo,1984-06-03,Summer,15.1,,18.2,,,,,,,,441,6
,Montreal,1984-06-17,Summer,15.3,9.5,20.5,0.0,0.0,,17.4,,1022.2,,442,7
,Hockenheim,1984-08-05,Summer,18.2,16.0,22.3,2.9,0.0,208.2,9.4,37.7,1017.2,217.1,446,10
,Spielberg,1984-08-19,Summer,16.8,12.2,22.0,0.0,0.0,,4.7,,,,447,70
,Zandvoort,1984-08-26,Summer,17.4,12.7,21.1,0.0,0.0,325.0,9.8,,1015.8,30.0,448,39
,Monza,1984-09-09,Autumn,16.4,11.4,19.0,0.9,,337.0,14.0,,,,449,14
,Nürburg,1984-10-07,Autumn,10.2,7.4,14.1,2.8,0.0,250.4,19.5,48.7,1020.4,292.9,450,20
,Estoril,1984-10-21,Autumn,16.2,9.2,20.4,0.0,,189.0,20.2,,,,451,27
83746,Rio de Janeiro,1983-03-13,Autumn,27.1,23.0,32.0,,,,10.6,,,,452,36
,Le Castellet,1983-04-17,Spring,12.7,9.0,16.1,3.3,,,8.8,,,,454,34
,Imola,1983-05-01,Spring,14.6,8.3,15.1,3.9,340.0,,15.6,,,,455,21
,Monte-Carlo,1983-05-15,Spring,17.7,16.0,20.8,6.1,,37.0,16.1,,,,456,6
,Spa,1983-05-22,Spring,10.2,5.9,14.9,0.2,,,,,,,457,13
,Montreal,1983-06-12,Summer,12.8,10.4,18.4,2.5,0.0,285.5,19.6,,1011.0,,459,7
,Hockenheim,1983-08-07,Summer,18.0,12.5,23.4,0.0,0.0,89.6,6.2,25.7,1021.8,457.6,461,10
,Spielberg,1983-08-14,Summer,16.3,10.8,22.0,0.0,0.0,,6.8,,,,462,70
,Zandvoort,1983-08-28,Summer,16.5,13.2,19.7,0.0,0.0,22.5,15.4,,1023.6,432.0,463,39
,Monza,1983-09-11,Autumn,19.9,13.6,21.3,3.1,,166.0,25.9,,,,464,14
,Midrand,1983-10-15,Autumn,21.9,14.0,28.0,1.9,,,,,,,466,30
,Midrand,1982-01-23,Winter,23.6,15.8,29.0,0.0,,,,,,,467,30
83746,Rio de Janeiro,1982-03-21,Autumn,26.8,,,,,,,,,,468,36
,Imola,1982-04-25,Spring,7.1,0.9,8.4,2.1,436.7,,,,,,470,21
,Heusden-Zolder,1982-05-09,Spring,10.0,6.1,14.2,0.0,,,,,,,471,40
,Monte-Carlo,1982-05-23,Spring,18.9,15.9,21.7,2.0,,,,,,,472,6
,Montreal,1982-06-13,Summer,15.4,9.8,19.6,0.2,0.0,114.0,13.8,,1019.9,,474,7
,Zandvoort,1982-07-03,Summer,16.5,13.5,20.2,3.0,0.0,285.8,17.4,,1007.2,42.0,475,39
,Le Castellet,1982-07-25,Summer,18.5,14.3,23.3,1.7,,321.5,19.0,,,,477,34
,Hockenheim,1982-08-08,Summer,20.0,16.2,24.7,0.2,0.0,297.6,7.9,29.9,1016.0,219.8,478,10
,Spielberg,1982-08-15,Summer,21.4,14.4,28.7,6.6,0.0,,4.8,,,,479,70
07280,Dijon,1982-08-29,Summer,18.0,11.3,24.4,0.0,,,,,,,480,41
,Monza,1982-09-12,Autumn,19.6,15.6,19.0,1.6,,,7.0,,,,481,14
83746,Rio de Janeiro,1981-03-29,Autumn,23.6,,,,,,,,,,484,36
87582,Buenos Aires,1981-04-12,Autumn,20.1,18.0,25.0,0.0,,,,,,,485,25
,Imola,1981-05-03,Spring,10.1,6.7,12.2,6.9,90.0,197.0,9.0,,,,486,21
,Heusden-Zolder,1981-05-17,Spring,10.9,8.0,15.2,3.2,,,,,,,487,40
,Monte-Carlo,1981-05-31,Spring,20.3,,,0.0,,,,,,,488,6
08222,Madrid,1981-06-21,Summer,,17.8,31.4,0.0,,,,,,,489,45
07280,Dijon,1981-07-05,Summer,19.0,,,0.0,,,,,,,490,41
,Hockenheim,1981-08-02,Summer,16.9,13.2,22.2,4.6,0.0,188.4,7.8,34.4,1021.7,159.3,492,10
,Spielberg,1981-08-16,Summer,22.0,14.7,29.4,7.6,0.0,,6.8,,,,493,70
,Zandvoort,1981-08-30,Summer,14.9,10.3,19.4,0.0,0.0,29.0,8.5,,1018.8,474.0,494,39
,Monza,1981-09-13,Autumn,19.0,14.3,22.6,0.3,,,7.2,,,,495,14
,Montreal,1981-09-27,Autumn,11.6,7.0,15.7,1.3,0.0,234.0,14.1,,1023.3,,496,7
87582,Buenos Aires,1980-01-13,Summer,25.6,23.0,28.0,0.0,,,,,,,498,25
83780,São Paulo,1980-01-27,Summer,22.0,19.0,26.0,3.9,,,10.0,,,,499,18
,Midrand,1980-03-01,Spring,20.1,18.2,28.9,8.5,,,,,,,500,30
,Heusden-Zolder,1980-05-04,Spring,9.3,4.4,13.2,0.0,,,,,,,502,40
,Monte-Carlo,1980-05-18,Spring,13.9,11.0,17.0,0.0,,347.0,9.7,,,,503,6
,Le Castellet,1980-06-29,Summer,15.5,12.9,20.0,1.7,,,,,,,504,34
,Hockenheim,1980-08-10,Summer,16.3,11.4,21.3,0.0,0.0,264.6,8.3,27.0,1019.0,526.4,506,10
,Spielberg,1980-08-17,Summer,19.3,16.1,23.0,1.0,0.0,,,,,,507,70
,Zandvoort,1980-08-31,Summer,14.3,12.0,16.7,3.1,0.0,315.0,23.4,,1012.8,60.0,508,39
,Imola,1980-09-14,Autumn,18.6,13.1,21.8,0.3,,319.0,24.7,,,,509,21
,Montreal,1980-09-28,Autumn,13.4,7.9,17.9,0.9,0.0,157.0,21.1,,1000.4,,510,7
87582,Buenos Aires,1979-01-21,Summer,25.2,22.0,,0.0,,,,,,,512,25
83780,São Paulo,1979-02-04,Summer,20.6,,,0.0,,,,,,,513,18
,Midrand,1979-03-03,Spring,19.0,16.4,23.9,1.6,,,,,,,514,30
08222,Madrid,1979-04-29,Spring,,5.4,16.2,0.0,,,,,,,516,45
,Heusden-Zolder,1979-05-13,Spring,15.7,9.7,21.2,0.0,,,,,,,517,40
,Monte-Carlo,1979-05-27,Spring,17.6,15.0,20.0,0.5,,126.0,10.4,,,,518,6
07280,Dijon,1979-07-01,Summer,14.9,13.0,18.0,0.0,,6.0,15.8,,,,519,41
,Hockenheim,1979-07-29,Summer,20.2,16.0,25.7,10.3,0.0,194.2,10.5,47.9,1011.1,306.5,521,10
,Spielberg,1979-08-12,Summer,14.3,11.4,18.6,1.6,0.0,214.0,5.9,,,,522,70
,Zandvoort,1979-08-26,Summer,13.5,9.2,17.9,2.3,0.0,293.5,12.6,,1009.6,228.0,523,39
,Monza,1979-09-09,Autumn,18.7,13.8,22.0,0.4,,,,,,,524,14
,Montreal,1979-09-30,Autumn,11.2,8.2,16.4,0.4,0.0,165.0,16.0,,1015.9,,525,7
87582,Buenos Aires,1978-01-15,Summer,24.9,,,0.0,,,,,,,527,25
83746,Rio de Janeiro,1978-01-29,Summer,30.6,,,,,,,,,,528,36
,Midrand,1978-03-04,Spring,22.3,19.4,30.3,2.4,,,,,,,529,30
,Monte-Carlo,1978-05-07,Spring,13.4,11.0,16.0,0.3,,,,,,,531,6
,Heusden-Zolder,1978-05-21,Spring,10.4,8.4,12.2,0.0,,,,,,,532,40
08222,Madrid,1978-06-04,Summer,,14.4,25.0,0.0,,,,,,,533,45
,Anderstorp,1978-06-17,Summer,10.4,6.3,14.9,0.0,0.0,73.0,30.4,,1015.3,864.0,534,47
,Le Castellet,1978-07-02,Summer,16.8,11.2,21.0,2.0,,265.4,16.7,,,,535,34
,Hockenheim,1978-07-30,Summer,23.6,16.4,29.9,0.0,0.0,94.4,12.2,34.6,1017.5,759.8,537,10
,Spielberg,1978-08-13,Summer,14.3,10.1,19.0,1.9,0.0,,3.0,,,,538,70
,Zandvoort,1978-08-27,Summer,13.2,9.7,16.4,5.4,0.0,304.6,20.7,,1020.7,390.0,539,39
,Monza,1978-09-10,Autumn,19.5,15.0,22.2,0.0,,,,,,,540,14
,Montreal,1978-10-08,Autumn,14.8,9.2,18.6,0.4,0.0,241.0,23.6,,1009.2,,542,7
87582,Buenos Aires,1977-01-09,Summer,30.2,,,,,,,,,,543,25
83780,São Paulo,1977-01-23,Summer,21.9,,,0.0,,,,,,,544,18
,Midrand,1977-03-05,Spring,18.8,17.6,24.3,11.7,,,,,,,545,30
08222,Madrid,1977-05-08,Spring,,10.4,22.0,0.0,,,,,,,547,45
,Monte-Carlo,1977-05-22,Spring,16.6,13.0,19.0,0.0,,34.0,12.3,,,,548,6
,Heusden-Zolder,1977-06-05,Summer,12.2,9.4,15.4,7.5,,,,,,,549,40
,Anderstorp,1977-06-19,Summer,17.0,12.9,23.4,1.6,0.0,301.0,13.3,,1008.7,684.0,550,47
07280,Dijon,1977-07-03,Summer,22.2,15.0,29.0,0.0,,,,,,,551,41
,Hockenheim,1977-07-31,Summer,16.3,14.2,21.8,6.4,0.0,193.7,18.1,45.1,1011.1,199.6,553,10
,Spielberg,1977-08-14,Summer,16.1,12.6,20.1,1.2,0.0,,,,,,554,70
,Zandvoort,1977-08-28,Summer,14.2,9.9,17.6,1.5,0.0,169.5,10.9,,1020.0,162.0,555,39
,Monza,1977-09-11,Autumn,17.5,12.7,21.5,0.0,,,,,,,556,14
,Ontario,1977-10-09,Autumn,14.8,6.3,14.2,2.9,0.0,183.5,18.4,,1014.8,,558,48
,Oyama,1977-10-23,Autumn,18.1,12.2,23.8,0.2,,,,,,,559,16
83780,São Paulo,1976-01-25,Summer,25.6,21.0,31.0,0.0,,,,,1009.8,,560,18
,Midrand,1976-03-06,Spring,21.1,18.9,28.5,3.2,,,,,,,561,30
08222,Madrid,1976-05-02,Spring,,7.0,20.4,0.0,,,,,,,563,45
,Heusden-Zolder,1976-05-16,Spring,13.7,10.0,18.6,0.0,,,,,,,564,40
,Monte-Carlo,1976-05-30,Spring,18.2,14.0,21.0,0.0,,,,,,,565,6
,Anderstorp,1976-06-13,Summer,14.3,10.5,17.7,1.3,0.0,270.0,28.8,,1014.4,342.0,566,47
,Le Castellet,1976-07-04,Summer,24.6,17.3,32.2,3.0,,135.3,10.0,,,,567,34
,Nürburg,1976-08-01,Summer,13.3,9.3,18.3,1.2,0.0,288.4,15.4,48.2,1016.6,555.0,569,20
,Spielberg,1976-08-15,Summer,16.7,10.5,23.4,0.0,0.0,,7.2,,,,570,70
,Zandvoort,1976-08-29,Summer,19.4,12.4,25.8,0.5,0.0,106.0,10.0,,1013.6,,571,39
,Monza,1976-09-12,Autumn,15.4,10.6,18.5,2.9,,173.0,18.2,,,,572,14
,Ontario,1976-10-03,Autumn,25.2,7.6,17.6,0.2,0.0,,,,,,573,48
,Oyama,1976-10-24,Autumn,18.3,15.1,21.7,4.3,,,,,,,575,16
87582,Buenos Aires,1975-01-12,Summer,22.6,18.0,,0.0,,,,,,,576,25
83780,São Paulo,1975-01-26,Summer,25.3,,,0.0,,,,,,,577,18
,Midrand,1975-03-01,Spring,,17.1,28.6,7.1,,,,,,,578,30
08181,Barcelona,1975-04-27,Spring,13.9,8.8,19.8,1.0,,,,,,,579,49
80419,Barcelona,1975-04-27,Spring,28.5,24.0,31.0,,,,,,,,579,49
,Monte-Carlo,1975-05-11,Spring,13.7,,15.0,11.9,,,,,,,580,6
,Heusden-Zolder,1975-05-25,Spring,12.1,6.1,17.0,0.1,,,,,,,581,40
,Anderstorp,1975-06-08,Summer,12.7,8.9,20.8,0.0,0.0,51.0,24.8,,1026.0,876.0,582,47
,Zandvoort,1975-06-22,Summer,17.6,15.5,20.4,7.7,0.0,23.0,19.1,,,,583,39
,Le Castellet,1975-07-06,Summer,18.3,13.0,23.7,0.3,,139.0,10.5,,,,584,34
,Nürburg,1975-08-03,Summer,21.3,13.7,28.0,0.0,0.0,283.4,8.2,25.4,1024.3,782.4,586,20
,Spielberg,1975-08-17,Summer,19.2,13.9,25.9,5.9,0.0,,10.0,,,,587,70
,Monza,1975-09-07,Autumn,18.6,14.7,21.1,6.3,,,,,,,588,14
87582,Buenos Aires,1974-01-13,Summer,27.1,,,,,,,,,,590,25
83780,São Paulo,1974-01-27,Summer,22.2,,,11.8,,,,,,,591,18
,Midrand,1974-03-30,Spring,18.8,13.7,22.6,1.0,,,,,,,592,30
08222,Madrid,1974-04-28,Spring,,5.8,14.4,0.7,,,,,,,593,45
06447,Brussels,1974-05-12,Spring,15.0,6.8,20.2,0.0,,,,,,,594,50
,Monte-Carlo,1974-05-26,Spring,17.6,14.0,20.0,0.0,,,,,,,595,6
,Anderstorp,1974-06-09,Summer,10.3,6.9,15.6,4.3,0.0,286.0,18.0,,1005.6,336.0,596,47
,Zandvoort,1974-06-23,Summer,17.5,12.0,23.1,0.1,0.0,8.7,14.3,,1013.8,,597,39
07280,Dijon,1974-07-07,Summer,18.3,12.0,23.0,0.0,,,,,,,598,41
,Nürburg,1974-08-04,Summer,19.8,15.8,27.0,6.3,0.0,109.2,10.4,40.8,1012.8,219.0,600,20
,Spielberg,1974-08-18,Summer,23.4,17.0,30.4,0.0,0.0,,,,,,601,70
,Monza,1974-09-08,Autumn,19.1,12.2,21.9,0.1,,,,,,,602,14
,Ontario,1974-09-22,Autumn,,10.5,22.2,14.4,0.0,,,,,,603,48
87582,Buenos Aires,1973-01-28,Summer,23.4,,,,,,,,,,605,25
83780,São Paulo,1973-02-11,Summer,27.9,23.0,33.0,0.0,,329.0,8.8,,,,606,18
,Midrand,1973-03-03,Spring,,17.8,26.8,1.0,,,,,,,607,30
08181,Barcelona,1973-04-29,Spring,14.8,13.0,18.0,0.0,,,,,,,608,49
,Heusden-Zolder,1973-05-20,Spring,16.9,11.4,21.1,0.5,,,,,,,609,40
,Monte-Carlo,1973-06-03,Summer,19.2,16.0,22.0,0.0,,,,,,,610,6
,Anderstorp,1973-06-17,Summer,14.0,6.2,18.6,0.0,0.0,16.0,8.6,,1020.2,870.0,611,47
,Le Castellet,1973-07-01,Summer,23.1,14.3,29.9,0.0,,,,,,,612,34
,Zandvoort,1973-07-29,Summer,16.2,14.5,18.8,0.1,0.0,,,,,,614,39
